"","scale","group1wins","average_ballot_length_all","average_ballot_length_group1"
"154","0.84",1,5.464,3.32
"155","0.9",1,5.64,4.2
"156","0.94",1,5.769,4.845
"157","0.96",1,5.822,5.11
"158","0.97",1,5.893,5.465
"159","0.98",1,5.91,5.55
"160","0.99",1,5.954,5.77
"161","0.37",1,5.092,1.46
"162","0.6",1,5.198,1.99
"163","0.75",1,5.338,2.69
"164","0.84",1,5.467,3.335
"165","0.9",1,5.632,4.16
"166","0.94",1,5.718,4.59
"167","0.96",1,5.808,5.04
"168","0.97",1,5.843,5.215
"169","0.98",1,5.929,5.645
"170","0.99",1,5.933,5.665
"171","0.37",1,5.11,1.55
"172","0.6",1,5.195,1.975
"173","0.75",1,5.375,2.875
"174","0.84",1,5.475,3.375
"175","0.9",1,5.554,3.77
"176","0.94",1,5.711,4.555
"177","0.96",1,5.835,5.175
"178","0.97",1,5.902,5.51
